time, id1, id2, amount, message
11/2/16 9:38, 49466, 6989, 23.74, 🦄 
11/2/16 9:38, 52349, 8552, 37.1, Pitcher 
11/2/16 9:38, 32639, 2562, 18.68, 🚕 
11/2/16 9:38, 15381, 13167, 20.92, For your wife. 
11/2/16 9:38, 17052, 6289, 39.09, 🍺🍺🍺🏌🏌🏌 
11/2/16 9:38, 54008, 15138, 21.74, 🚗🌃 
11/2/16 9:38, 74050, 45140, 36.92, Best hair stylist on the west coast... And rent 
11/2/16 9:38, 46702, 8034, 32.07, Juice 
11/2/16 9:38, 41480, 22688, 3.19, Milk 
11/2/16 9:38, 47846, 6067, 14.96, ✨ 
11/2/16 9:38, 54505, 9696, 20, Zombies 
11/2/16 9:38, 18007, 498, 24.95, 💋💋💋 
11/2/16 9:38, 49174, 6646, 22.98, 🌚🌚🌚🌚 
11/2/16 9:38, 72459, 72460, 28.63, Debauchery in the form of adulting 
11/2/16 9:38, 13238, 5795, 2.94, Garlic rosemary challah 
11/2/16 9:38, 49509, 74670, 41.74, 🚕 
11/2/16 9:38, 65203, 76387, 29.53, 🍗 
11/2/16 9:38, 20711, 5504, 22.74, Delish 
11/2/16 9:38, 67795, 23442, 3.42, Exterminating 
11/2/16 9:38, 35494, 3009, 34.52, 🚕 
11/2/16 9:38, 43424, 7413, 29.09, 🚕 💸 
11/2/16 9:38, 16965, 52460, 14.95, 🎂🎉 
11/2/16 9:38, 7032, 34, 8.66,  Turkey bacon avacadoooooo 
11/2/16 9:38, 32656, 2562, 8.28, 🐱Disappoint plushie 
11/2/16 9:38, 77059, 73447, 21.97, 😈 
11/2/16 9:38, 55755, 10331, 19.83, Mid-afternoon burger 
11/2/16 9:38, 20640, 23310, 10.91, Mimosas!!! Yaaassss queen!! 🍾 
11/2/16 9:38, 73785, 43828, 25.38, Fappiano🍾 
11/2/16 9:38, 38721, 3865, 26.78, 🐶 
11/2/16 9:38, 49425, 4929, 14.88, . 
11/2/16 9:38, 58987, 31733, 20.67, Cover 
11/2/16 9:38, 25074, 1428, 20.94, Drank at Josh Ritter whom I ❤ 
11/2/16 9:38, 67976, 23735, 40.17, Slow service 
11/2/16 9:38, 73253, 41103, 28.3, 🍕 
11/2/16 9:38, 5353, 14985, 28.86, GOODS 
11/2/16 9:38, 42527, 13175, 29.2, Drink 
11/2/16 9:38, 32729, 2571, 20.16, For our nightlights 
11/2/16 9:38, 24111, 1307, 14.35, 🍦 
11/2/16 9:38, 33888, 5922, 22.44, Because you made waffles. 
11/2/16 9:38, 45506, 5457, 29.97, 🚙 
11/2/16 9:38, 5490, 13997, 37.42, 🍟 
11/2/16 9:38, 5480, 2481, 9.9, Lisp 
11/2/16 9:38, 16570, 1726, 10.8, 🐚. 
11/2/16 9:38, 60696, 13817, 16.12, 🌴🌴 
11/2/16 9:38, 7497, 8170, 5.18	, Beaaaaan 
11/2/16 9:38, 52087, 8416, 24.32, Tip 
11/2/16 9:38, 31141, 2470, 21.05, Alc 
11/2/16 9:38, 34700, 12729, 27.5, 🍻 
11/2/16 9:38, 19321, 24937, 29.14, Venmo 
